Num_Acc,code_insee,gravite
202400000062,51210,BlesseHospitalise
202400000063,94033,BlesseLeger
202400000064,67281,BlesseLeger
202400000065,77468,BlesseLeger
202400000066,61460,BlesseLeger
202400000067,47228,BlesseHospitalise
202400000068,54382,BlesseHospitalise
202400000069,34013,BlesseLeger
202400000070,22181,BlesseLeger
202400000071,98818,BlesseLeger
202400000072,54129,BlesseLeger
202400000073,98735,BlesseLeger
202400000074,97416,BlesseLeger
202400000075,72310,BlesseHospitalise
202400000076,97411,BlesseLeger
202400000077,40269,BlesseHospitalise
202400000078,69142,BlesseLeger
202400000079,85146,BlesseHospitalise
202400000080,85192,BlesseLeger
202400000081,69382,BlesseLeger
202400000082,37050,BlesseHospitalise
202400000083,2B037,BlesseLeger
202400000084,10142,BlesseHospitalise
202400000085,31246,Tue
202400000086,43188,Tue
202400000087,98738,BlesseHospitalise
202400000088,98805,BlesseHospitalise
202400000089,42169,Tue
202400000090,28026,BlesseHospitalise
202400000091,2B087,BlesseHospitalise
202400000092,34199,BlesseLeger
202400000093,57222,BlesseLeger
202400000094,01262,BlesseHospitalise
202400000095,60138,BlesseLeger
202400000096,91617,BlesseLeger
202400000097,91553,BlesseLeger
202400000098,91689,BlesseLeger
202400000099,91432,BlesseLeger
202400000100,78297,BlesseLeger
202400000101,92064,BlesseLeger
202400000102,78297,BlesseLeger
202400000103,94042,BlesseLeger
202400000104,93070,BlesseLeger
202400000105,93066,BlesseLeger
202400000106,93047,BlesseLeger
202400000107,93005,BlesseLeger
202400000108,74012,BlesseLeger
202400000109,97407,BlesseHospitalise
202400000110,69387,BlesseLeger
202400000111,69383,BlesseLeger
202400000112,97213,BlesseLeger
202400000113,97213,BlesseLeger
202400000114,69382,BlesseLeger
202400000115,95176,Tue
202400000116,84031,BlesseHospitalise
202400000117,83069,BlesseHospitalise
202400000118,83061,Tue
202400000119,77369,BlesseLeger
202400000120,64483,BlesseLeger
202400000121,64284,BlesseLeger
202400000122,62178,BlesseLeger
202400000123,59599,BlesseLeger
202400000124,59350,BlesseLeger
202400000125,59017,BlesseHospitalise
202400000126,54431,BlesseHospitalise
202400000127,51454,BlesseLeger
202400000128,45004,BlesseHospitalise
202400000129,38563,BlesseHospitalise
202400000130,38185,BlesseLeger
202400000131,38053,BlesseLeger
202400000132,37122,BlesseLeger
202400000133,35238,BlesseHospitalise
202400000134,33063,BlesseLeger
202400000135,13005,BlesseLeger
202400000136,06088,BlesseLeger
202400000137,06029,BlesseHospitalise
202400000138,06030,BlesseLeger
202400000139,05061,BlesseLeger
202400000140,05023,BlesseLeger
202400000141,04070,BlesseLeger
202400000142,01283,BlesseLeger
202400000143,75112,BlesseLeger
202400000144,75106,BlesseLeger
202400000145,75116,BlesseLeger
202400000146,75114,BlesseLeger
202400000147,75113,BlesseLeger
202400000148,75112,BlesseLeger
202400000149,75110,BlesseLeger
202400000150,75117,BlesseLeger
202400000151,94078,BlesseLeger
202400000152,94038,BlesseLeger
202400000153,94017,BlesseLeger
202400000154,93078,BlesseLeger
202400000155,93078,BlesseLeger
202400000156,92025,BlesseLeger
202400000157,92009,BlesseLeger
202400000158,72243,BlesseHospitalise
202400000159,35167,BlesseHospitalise
202400000160,97415,BlesseHospitalise
202400000161,69255,BlesseHospitalise
202400000162,35160,BlesseHospitalise
202400000163,69132,BlesseLeger
202400000164,26121,BlesseHospitalise
202400000165,87167,BlesseHospitalise
202400000166,86254,Tue
202400000167,60430,BlesseHospitalise
202400000168,17219,BlesseLeger
202400000169,85153,BlesseLeger
202400000170,02684,BlesseLeger
202400000171,41290,Tue
202400000172,57683,BlesseHospitalise
202400000173,62186,BlesseHospitalise
202400000174,83116,BlesseHospitalise
202400000175,62771,BlesseLeger
202400000176,57552,Tue
202400000177,93006,BlesseLeger
202400000178,56017,BlesseLeger
202400000179,95252,BlesseHospitalise
202400000180,98735,BlesseHospitalise
202400000181,56243,BlesseHospitalise
202400000182,97611,BlesseLeger
202400000183,76146,BlesseHospitalise
202400000184,97411,BlesseHospitalise
202400000185,80586,BlesseHospitalise
202400000186,65244,BlesseHospitalise
202400000187,97302,BlesseHospitalise
202400000188,69267,BlesseHospitalise
202400000189,97213,BlesseLeger
202400000190,49218,BlesseHospitalise
202400000191,69382,BlesseLeger
202400000192,12052,BlesseHospitalise
202400000193,2B037,BlesseLeger
202400000194,47117,BlesseLeger
202400000195,97101,BlesseHospitalise
202400000196,47159,BlesseHospitalise
202400000197,97107,BlesseHospitalise
202400000198,47274,BlesseHospitalise
202400000199,2A004,BlesseLeger
202400000200,34142,BlesseHospitalise
202400000201,29220,Tue
202400000202,95127,BlesseLeger
202400000203,01225,BlesseLeger
202400000204,95500,BlesseLeger
202400000205,14302,BlesseHospitalise
202400000206,64549,BlesseLeger
202400000207,18063,Tue
202400000208,10249,BlesseHospitalise
202400000209,07291,BlesseHospitalise
202400000210,21582,Tue
202400000211,85156,BlesseHospitalise
202400000212,85031,BlesseLeger
202400000213,27379,BlesseLeger
202400000214,28325,Tue
202400000215,68297,BlesseHospitalise
202400000216,71556,BlesseHospitalise
202400000217,38087,BlesseHospitalise
202400000218,81271,BlesseLeger
202400000219,49301,BlesseHospitalise
202400000220,27119,BlesseLeger
202400000221,27161,BlesseHospitalise
202400000222,60321,BlesseHospitalise
202400000223,13202,BlesseLeger
202400000224,13033,BlesseLeger
202400000225,33063,BlesseLeger
202400000226,93005,BlesseLeger
202400000227,95424,BlesseLeger
202400000228,95527,BlesseHospitalise
202400000229,94017,BlesseLeger
202400000230,44109,BlesseLeger
202400000231,44109,BlesseLeger
202400000232,44109,BlesseLeger
202400000233,44143,BlesseLeger
202400000234,44109,BlesseLeger
202400000235,44109,BlesseLeger
202400000236,44114,BlesseLeger
202400000237,75116,BlesseLeger
202400000238,97416,BlesseHospitalise
202400000239,97409,BlesseLeger
202400000240,97302,BlesseLeger
202400000241,97213,BlesseHospitalise
202400000242,97209,BlesseLeger
202400000243,97101,BlesseLeger
202400000244,95280,BlesseLeger
202400000245,95582,BlesseLeger
202400000246,95563,BlesseLeger
202400000247,95218,BlesseLeger
202400000248,91692,BlesseLeger
202400000249,91421,BlesseLeger
202400000250,91687,BlesseLeger
202400000251,84007,BlesseLeger
202400000252,83137,BlesseLeger
202400000253,82033,BlesseLeger
202400000254,79191,BlesseLeger
202400000255,77284,BlesseHospitalise
202400000256,77186,BlesseHospitalise
202400000257,74012,BlesseLeger
202400000258,74012,BlesseLeger
202400000259,69275,BlesseHospitalise
202400000260,69029,BlesseLeger
202400000261,67447,BlesseLeger
202400000262,64125,BlesseLeger
202400000263,64122,BlesseLeger
202400000264,64102,BlesseLeger
202400000265,64024,BlesseHospitalise
202400000266,59508,BlesseLeger
202400000267,59650,BlesseLeger
202400000268,59378,BlesseLeger
202400000269,56121,BlesseLeger
202400000270,56083,BlesseLeger
202400000271,49007,BlesseHospitalise
202400000272,45234,BlesseLeger
202400000273,45004,BlesseHospitalise
202400000274,43041,BlesseLeger
202400000275,27229,BlesseLeger
202400000276,26362,BlesseLeger
202400000277,25204,BlesseHospitalise
202400000278,25056,BlesseLeger
202400000279,25056,BlesseLeger
202400000280,25056,BlesseHospitalise
202400000281,13039,BlesseLeger
202400000282,13213,BlesseHospitalise
202400000283,13216,Tue
202400000284,11262,BlesseLeger
202400000285,10387,BlesseLeger
202400000286,10357,BlesseLeger
202400000287,10387,BlesseLeger
202400000288,10387,BlesseLeger
202400000289,06029,BlesseLeger
202400000290,01053,BlesseHospitalise
202400000291,01053,BlesseLeger
202400000292,01053,BlesseLeger
202400000293,75112,BlesseLeger
202400000294,75115,BlesseLeger
202400000295,75112,BlesseLeger
202400000296,75114,BlesseLeger
202400000297,75105,BlesseLeger
202400000298,33003,BlesseLeger
202400000299,75120,BlesseLeger
202400000300,33192,BlesseLeger
202400000301,75120,BlesseLeger
202400000302,75119,BlesseLeger
202400000303,91661,Tue
202400000304,75119,BlesseLeger
202400000305,92048,BlesseLeger
202400000306,95241,BlesseHospitalise
202400000307,75119,BlesseLeger
202400000308,95018,BlesseLeger
202400000309,75118,BlesseLeger
202400000310,94018,BlesseLeger
202400000311,75117,BlesseLeger
202400000312,94028,BlesseLeger
202400000313,75116,BlesseLeger
202400000314,75113,BlesseLeger
202400000315,97407,Tue
202400000316,75113,BlesseLeger
202400000317,97407,BlesseLeger
202400000318,75110,BlesseLeger
202400000319,97302,BlesseLeger
202400000320,75107,BlesseHospitalise
202400000321,75103,BlesseLeger
202400000322,69383,BlesseLeger
202400000323,69388,BlesseLeger
202400000324,75102,BlesseLeger
202400000325,97209,BlesseLeger
202400000326,94081,BlesseLeger
202400000327,69382,BlesseHospitalise
202400000328,94076,BlesseLeger
202400000329,69384,BlesseLeger
202400000330,94041,BlesseLeger
202400000331,95585,BlesseLeger
202400000332,94034,BlesseLeger
202400000333,95280,BlesseHospitalise
202400000334,94021,BlesseLeger
202400000335,95219,BlesseLeger
202400000336,94034,BlesseLeger
202400000337,91103,BlesseHospitalise
202400000338,94054,BlesseLeger
202400000339,91689,BlesseLeger
202400000340,94079,BlesseHospitalise
202400000341,94017,BlesseLeger
202400000342,93066,BlesseLeger
202400000343,93050,BlesseLeger
202400000344,93046,BlesseLeger
202400000345,93046,BlesseLeger
202400000346,93010,BlesseLeger
202400000347,93057,BlesseLeger
202400000348,93008,BlesseHospitalise
202400000349,93007,BlesseLeger
202400000350,93007,BlesseLeger
202400000351,93005,BlesseLeger
202400000352,92050,BlesseLeger
202400000353,92020,BlesseLeger
202400000354,92023,BlesseLeger
202400000355,92012,BlesseLeger
202400000356,39120,BlesseLeger
202400000357,01322,BlesseHospitalise
202400000358,06114,BlesseHospitalise
202400000359,18233,BlesseHospitalise
202400000360,71383,BlesseHospitalise
202400000361,68175,BlesseHospitalise
202400000362,97210,Tue
202400000363,63206,BlesseHospitalise
202400000364,30209,BlesseHospitalise
202400000365,2A130,BlesseLeger
202400000366,63374,BlesseHospitalise
202400000367,12243,BlesseLeger
202400000368,47058,BlesseHospitalise
202400000369,25464,BlesseLeger
202400000370,44213,BlesseHospitalise
202400000371,31592,BlesseHospitalise
202400000372,38043,BlesseHospitalise
202400000373,15181,BlesseLeger
202400000374,01179,BlesseHospitalise
202400000375,14062,BlesseLeger
202400000376,10426,BlesseHospitalise
202400000377,36088,BlesseLeger
202400000378,07302,BlesseHospitalise
202400000379,53097,BlesseHospitalise
202400000380,27467,BlesseLeger
202400000381,27198,BlesseHospitalise
202400000382,28032,BlesseHospitalise
202400000383,30006,Tue
202400000384,08230,BlesseLeger
202400000385,06085,BlesseHospitalise
202400000386,89441,BlesseHospitalise
202400000387,38064,BlesseLeger
202400000388,77095,BlesseLeger
202400000389,77100,BlesseHospitalise
202400000390,95002,BlesseHospitalise
202400000391,34058,BlesseHospitalise
202400000392,83016,BlesseHospitalise
202400000393,13034,BlesseHospitalise
202400000394,70022,Tue
202400000395,38369,BlesseHospitalise
202400000396,70120,BlesseLeger
202400000397,21217,BlesseHospitalise
202400000398,07264,BlesseHospitalise
202400000399,08122,BlesseLeger
202400000400,38110,Tue
202400000401,01027,BlesseHospitalise
202400000402,69272,Tue
202400000403,85088,Tue
202400000404,44047,BlesseHospitalise
202400000405,81105,BlesseHospitalise
202400000406,17093,BlesseLeger
202400000407,27602,BlesseLeger
202400000408,22176,Tue
202400000409,62604,BlesseHospitalise
202400000410,76399,BlesseHospitalise
202400000411,13210,BlesseLeger
202400000412,33003,BlesseLeger
202400000413,13005,BlesseLeger
202400000414,91479,BlesseHospitalise
202400000415,83137,BlesseLeger
202400000416,92063,BlesseLeger
202400000417,33318,BlesseLeger
202400000418,78640,BlesseLeger
202400000419,78043,BlesseLeger
202400000420,33143,BlesseLeger
202400000421,78362,BlesseLeger
202400000422,91179,BlesseLeger
202400000423,92051,BlesseHospitalise
202400000424,91689,BlesseLeger
202400000425,78646,BlesseLeger
202400000426,91661,BlesseLeger
202400000427,78117,BlesseLeger
202400000428,91534,BlesseLeger
202400000429,95060,BlesseLeger
202400000430,78322,BlesseLeger
202400000431,93066,BlesseLeger
202400000432,92063,BlesseHospitalise
202400000433,77249,BlesseLeger
202400000434,92048,BlesseLeger
202400000435,97416,BlesseLeger
202400000436,93008,BlesseLeger
202400000437,97411,BlesseHospitalise
202400000438,93010,BlesseLeger
202400000439,92036,BlesseLeger
202400000440,95582,BlesseHospitalise
202400000441,75112,BlesseLeger
202400000442,94042,BlesseLeger
202400000443,77517,BlesseLeger
202400000444,94018,BlesseLeger
202400000445,94069,BlesseLeger
202400000446,74012,BlesseLeger
202400000447,14117,BlesseHospitalise
202400000448,14734,BlesseHospitalise
202400000449,97113,BlesseLeger
202400000450,38421,BlesseLeger
202400000451,97113,BlesseLeger
202400000452,38317,BlesseHospitalise
202400000453,13056,BlesseHospitalise
202400000454,2A004,BlesseLeger
202400000455,13056,BlesseHospitalise
202400000456,13056,BlesseHospitalise
202400000457,95277,BlesseLeger
202400000458,13056,BlesseLeger
202400000459,95582,BlesseLeger
202400000460,75107,BlesseLeger
202400000461,91457,BlesseHospitalise
202400000462,57289,BlesseHospitalise
202400000463,84007,BlesseLeger
202400000464,97411,BlesseLeger
202400000465,97411,BlesseHospitalise
202400000466,79191,BlesseLeger
202400000467,97302,BlesseLeger
202400000468,77350,BlesseLeger
202400000469,77215,BlesseLeger
202400000470,76131,BlesseHospitalise
202400000471,73065,BlesseHospitalise
202400000472,95219,BlesseLeger
202400000473,69266,BlesseLeger
202400000474,95252,BlesseLeger
202400000475,69264,BlesseLeger
202400000476,95288,Tue
202400000477,62262,BlesseLeger
202400000478,91027,BlesseLeger
202400000479,84007,BlesseLeger
202400000480,59350,BlesseLeger
202400000481,84007,BlesseLeger
202400000482,59143,BlesseHospitalise
202400000483,82033,BlesseLeger
202400000484,54395,BlesseLeger
202400000485,81060,BlesseLeger
202400000486,51454,BlesseLeger
202400000487,49007,BlesseHospitalise
202400000488,72181,BlesseLeger
202400000489,45232,BlesseHospitalise
202400000490,72181,BlesseLeger
202400000491,42189,BlesseLeger
202400000492,67482,BlesseLeger
202400000493,64122,BlesseLeger
202400000494,64102,BlesseLeger
202400000495,35238,BlesseHospitalise
202400000496,64024,BlesseLeger
202400000497,34301,BlesseLeger
202400000498,61001,BlesseLeger
202400000499,34172,BlesseLeger
202400000500,59650,BlesseLeger
202400000501,59183,Tue
202400000502,33063,BlesseHospitalise
202400000503,57221,BlesseLeger
202400000504,33529,BlesseLeger
202400000505,56260,BlesseLeger
202400000506,31555,BlesseLeger
202400000507,56121,BlesseLeger
202400000508,27375,BlesseLeger
202400000509,56098,BlesseLeger
202400000510,56121,BlesseLeger
202400000511,25056,BlesseLeger
202400000512,54498,BlesseLeger
202400000513,54265,BlesseLeger
202400000514,51454,BlesseLeger
202400000515,19031,BlesseLeger
202400000516,51454,BlesseHospitalise
202400000517,17380,BlesseLeger
202400000518,13208,BlesseLeger
202400000519,47001,BlesseLeger
202400000520,06088,BlesseHospitalise
202400000521,75118,BlesseLeger
202400000522,41018,BlesseHospitalise
202400000523,75116,BlesseLeger
202400000524,33063,BlesseLeger
202400000525,33281,BlesseLeger
202400000526,75111,BlesseLeger
202400000527,29019,BlesseLeger
202400000528,75107,BlesseLeger
202400000529,75115,BlesseLeger
202400000530,94028,BlesseLeger
202400000531,25462,BlesseLeger
202400000532,93008,BlesseLeger
202400000533,22187,BlesseLeger
202400000534,92024,BlesseLeger
202400000535,16089,BlesseHospitalise
202400000536,13211,BlesseHospitalise
202400000537,37067,BlesseHospitalise
202400000538,13213,BlesseLeger
202400000539,54020,BlesseHospitalise
202400000540,13001,BlesseHospitalise
202400000541,83131,BlesseHospitalise
202400000542,59238,BlesseLeger
202400000543,95660,BlesseHospitalise
202400000544,12089,BlesseLeger
202400000545,80016,BlesseHospitalise
202400000546,56188,BlesseHospitalise
202400000547,11069,BlesseLeger
202400000548,56185,BlesseHospitalise
202400000549,64057,BlesseHospitalise
202400000550,56094,BlesseHospitalise
202400000551,11069,BlesseLeger
202400000552,68315,BlesseLeger
202400000553,68315,BlesseLeger
202400000554,56090,BlesseLeger
202400000555,06012,BlesseHospitalise
202400000556,03073,BlesseLeger
202400000557,56101,BlesseLeger
202400000558,06069,BlesseLeger
202400000559,56026,BlesseHospitalise
202400000560,05061,BlesseLeger
202400000561,59094,BlesseHospitalise
202400000562,78020,BlesseLeger
202400000563,75119,BlesseLeger
202400000564,2B318,BlesseLeger
202400000565,11254,BlesseHospitalise
202400000566,75119,BlesseHospitalise
202400000567,80116,Tue
202400000568,63160,BlesseHospitalise
202400000569,75118,BlesseLeger
202400000570,49223,BlesseLeger
202400000571,76711,BlesseLeger
202400000572,75116,BlesseLeger
202400000573,22207,BlesseHospitalise
202400000574,61414,BlesseLeger
202400000575,89024,BlesseHospitalise
202400000576,61283,BlesseLeger
202400000577,22183,BlesseHospitalise
202400000578,75116,BlesseLeger
202400000579,86194,Tue
202400000580,29185,Tue
202400000581,55502,BlesseLeger
202400000582,75116,BlesseLeger
202400000583,85191,Tue
202400000584,31033,BlesseLeger
202400000585,12044,BlesseHospitalise
202400000586,75115,BlesseLeger
202400000587,54447,Tue
202400000588,42059,Tue
202400000589,46234,Tue
202400000590,84007,BlesseLeger
202400000591,75114,BlesseLeger
202400000592,83062,BlesseHospitalise
202400000593,46231,BlesseLeger
202400000594,82033,BlesseLeger
202400000595,25228,Tue
202400000596,82033,BlesseLeger
202400000597,45193,BlesseHospitalise
202400000598,44067,BlesseHospitalise
202400000599,78621,BlesseLeger
202400000600,73241,BlesseLeger
202400000601,43203,BlesseHospitalise
202400000602,78172,BlesseLeger
202400000603,21640,BlesseHospitalise
202400000604,77373,BlesseLeger
202400000605,77131,BlesseHospitalise
202400000606,21562,BlesseHospitalise
202400000607,21534,BlesseLeger
202400000608,76351,BlesseLeger
202400000609,40175,BlesseHospitalise
202400000610,27685,Tue
202400000611,69290,BlesseLeger
202400000612,37045,Tue
202400000613,67482,BlesseLeger
202400000614,67462,Tue
202400000615,60030,BlesseHospitalise
202400000616,64445,BlesseLeger
202400000617,98715,BlesseHospitalise
202400000618,64445,BlesseLeger
202400000619,67117,BlesseLeger
202400000620,90034,BlesseLeger
202400000621,59512,BlesseLeger
202400000622,59569,BlesseHospitalise
202400000623,97617,Tue
202400000624,77065,BlesseHospitalise
202400000625,59334,BlesseHospitalise
202400000626,97305,BlesseHospitalise
202400000627,54395,BlesseHospitalise
202400000628,97117,BlesseHospitalise
202400000629,2B134,BlesseHospitalise
202400000630,50129,BlesseLeger
202400000631,83138,BlesseHospitalise
202400000632,49007,BlesseLeger
202400000633,89257,BlesseHospitalise
202400000634,49007,BlesseLeger
202400000635,71588,BlesseLeger
202400000636,71176,BlesseHospitalise
202400000637,45302,BlesseLeger
202400000638,01397,BlesseHospitalise
202400000639,45234,BlesseLeger
202400000640,69191,BlesseHospitalise
202400000641,45234,BlesseHospitalise
202400000642,86274,BlesseLeger
202400000643,45004,BlesseLeger
202400000644,86100,BlesseHospitalise
202400000645,42187,BlesseHospitalise
202400000646,86019,Tue
202400000647,40088,BlesseHospitalise
202400000648,29124,BlesseHospitalise
202400000649,40279,BlesseLeger
202400000650,37214,BlesseLeger
202400000651,69382,BlesseLeger
202400000652,91161,BlesseLeger
202400000653,35238,BlesseLeger
202400000654,77384,BlesseLeger
202400000655,35238,BlesseLeger
202400000656,93066,BlesseLeger
202400000657,74010,BlesseLeger
202400000658,35238,BlesseLeger
202400000659,74010,BlesseLeger
202400000660,37261,BlesseLeger
202400000661,35051,BlesseLeger
202400000662,98735,BlesseHospitalise
202400000663,97611,BlesseLeger
202400000664,35238,BlesseLeger
202400000665,97411,BlesseLeger
202400000666,34129,BlesseLeger
202400000667,97411,BlesseLeger
202400000668,97302,BlesseHospitalise
202400000669,34336,BlesseHospitalise
202400000670,69387,BlesseLeger
202400000671,33009,BlesseLeger
202400000672,69383,BlesseLeger
202400000673,97213,BlesseHospitalise
202400000674,31555,BlesseLeger
202400000675,97209,BlesseLeger
202400000676,31555,BlesseLeger
202400000677,97113,BlesseLeger
202400000678,29019,BlesseHospitalise
202400000679,97113,BlesseLeger
202400000680,2A004,BlesseLeger
202400000681,22113,BlesseLeger
202400000682,95218,BlesseHospitalise
202400000683,95018,Tue
202400000684,13206,BlesseLeger
202400000685,13209,BlesseHospitalise
202400000686,91570,BlesseLeger
202400000687,88209,BlesseLeger
202400000688,87085,BlesseLeger
202400000689,13216,BlesseLeger
202400000690,87085,BlesseLeger
202400000691,13047,BlesseLeger
202400000692,87085,BlesseLeger
202400000693,13098,BlesseLeger
202400000694,85191,BlesseLeger
202400000695,12084,BlesseHospitalise
202400000696,83062,Tue
202400000697,10362,BlesseLeger
202400000698,83137,BlesseLeger
202400000699,80131,Tue
202400000700,75115,BlesseLeger
202400000701,77326,Tue
202400000702,75118,BlesseLeger
202400000703,77251,BlesseHospitalise
202400000704,75118,BlesseLeger
202400000705,77445,BlesseHospitalise
202400000706,76351,BlesseLeger
202400000707,75120,BlesseLeger
202400000708,74012,BlesseLeger
202400000709,71153,BlesseLeger
202400000710,75118,BlesseLeger
202400000711,67482,BlesseLeger
202400000712,75117,BlesseLeger
202400000713,67482,BlesseLeger
202400000714,75117,BlesseLeger
202400000715,67447,BlesseLeger
202400000716,75113,BlesseLeger
202400000717,66136,BlesseHospitalise
202400000718,75112,BlesseLeger
202400000719,94073,BlesseLeger
202400000720,59515,Tue
202400000721,59606,Tue
202400000722,94054,BlesseLeger
202400000723,94077,BlesseHospitalise
202400000724,59299,BlesseLeger
202400000725,94079,BlesseLeger
202400000726,59350,BlesseHospitalise
202400000727,56260,BlesseLeger
202400000728,94071,BlesseHospitalise
202400000729,56121,BlesseLeger
202400000730,93066,BlesseLeger
202400000731,56098,BlesseLeger
202400000732,93066,BlesseLeger
202400000733,51454,BlesseLeger
202400000734,93053,BlesseLeger
202400000735,51108,BlesseLeger
202400000736,93053,BlesseHospitalise
202400000737,50129,BlesseLeger
202400000738,93048,BlesseLeger
202400000739,49007,BlesseLeger
202400000740,93046,BlesseLeger
202400000741,47001,BlesseLeger
202400000742,93029,BlesseLeger
202400000743,93029,BlesseLeger
202400000744,44109,BlesseLeger
202400000745,37214,BlesseLeger
202400000746,93027,BlesseLeger
202400000747,37122,BlesseLeger
202400000748,93008,BlesseHospitalise
202400000749,36044,BlesseLeger
202400000750,92078,BlesseLeger
202400000751,35238,BlesseLeger
202400000752,92062,BlesseLeger
202400000753,33065,BlesseLeger
202400000754,92026,BlesseLeger
202400000755,33063,BlesseLeger
202400000756,92025,BlesseLeger
202400000757,33529,BlesseLeger
202400000758,92025,BlesseLeger
202400000759,31555,BlesseHospitalise
202400000760,60533,BlesseLeger
202400000761,31555,BlesseLeger
202400000762,34276,BlesseHospitalise
202400000763,02615,BlesseLeger
202400000764,27229,BlesseLeger
202400000765,25204,BlesseLeger
202400000766,06161,BlesseLeger
202400000767,25462,BlesseLeger
202400000768,97410,BlesseHospitalise
202400000769,25056,BlesseLeger
202400000770,62405,BlesseHospitalise
202400000771,19269,BlesseHospitalise
202400000772,25056,BlesseLeger
202400000773,76377,BlesseHospitalise
202400000774,22278,BlesseLeger
202400000775,82030,BlesseHospitalise
202400000776,21231,BlesseHospitalise
202400000777,82195,BlesseLeger
202400000778,69084,BlesseHospitalise
202400000779,19031,BlesseLeger
202400000780,32384,BlesseHospitalise
202400000781,17306,BlesseLeger
202400000782,12133,BlesseHospitalise
202400000783,17306,BlesseLeger
202400000784,14366,BlesseHospitalise
202400000785,46073,BlesseHospitalise
202400000786,13211,BlesseLeger
202400000787,47185,BlesseHospitalise
202400000788,13216,BlesseLeger
202400000789,47106,BlesseHospitalise
202400000790,13213,BlesseHospitalise
202400000791,13211,BlesseHospitalise
202400000792,86064,BlesseHospitalise
202400000793,34293,BlesseHospitalise
202400000794,13047,BlesseLeger
202400000795,13001,BlesseLeger
202400000796,39128,BlesseHospitalise
202400000797,11069,BlesseLeger
202400000798,38444,BlesseHospitalise
202400000799,11069,BlesseLeger
202400000800,05046,BlesseHospitalise
202400000801,11069,BlesseLeger
202400000802,64436,BlesseHospitalise
202400000803,10333,BlesseLeger
202400000804,10423,Tue
202400000805,06069,BlesseLeger
202400000806,07009,BlesseLeger
202400000807,02722,BlesseLeger
202400000808,24520,BlesseHospitalise
202400000809,01053,BlesseLeger
202400000810,04001,BlesseLeger
202400000811,75112,BlesseLeger
202400000812,75116,BlesseLeger
202400000813,17101,BlesseHospitalise
202400000814,75112,BlesseHospitalise
202400000815,75105,BlesseLeger
202400000816,48051,BlesseHospitalise
202400000817,75120,BlesseHospitalise
202400000818,06152,BlesseHospitalise
202400000819,75120,BlesseLeger
202400000820,60533,BlesseLeger
202400000821,75120,BlesseHospitalise
202400000822,97408,BlesseHospitalise
202400000823,75115,BlesseLeger
202400000824,97114,BlesseLeger
202400000825,75114,BlesseLeger
202400000826,34145,BlesseLeger
202400000827,34145,BlesseHospitalise
202400000828,75112,BlesseLeger
202400000829,83047,BlesseLeger
202400000830,54186,BlesseHospitalise
202400000831,75108,BlesseLeger
202400000832,03200,BlesseHospitalise
202400000833,75103,BlesseLeger
202400000834,63417,BlesseHospitalise
202400000835,94015,BlesseLeger
202400000836,38545,BlesseHospitalise
202400000837,94038,BlesseLeger
202400000838,07324,BlesseLeger
202400000839,94022,BlesseHospitalise
202400000840,69028,BlesseLeger
202400000841,94069,BlesseLeger
202400000842,81251,BlesseLeger
202400000843,79020,BlesseLeger
202400000844,94017,BlesseLeger
202400000845,40184,BlesseHospitalise
202400000846,33238,BlesseHospitalise
202400000847,94002,BlesseLeger
202400000848,33159,Tue
202400000849,33449,BlesseHospitalise
202400000850,49298,BlesseLeger
202400000851,14488,BlesseHospitalise
